C27
B01
D00
B17
C36
A07
B23
A00
C40
D52
C10
C26
C82
A19
B00
A28
B84
D21
B80
B71
C02
B20
A12
B34
D40
B13
B30
A25
A16
D31
A13
A29
A36
B09
D13
A01
A33
B08
A80
C42
D01
A17
B03
C88
B33
B46
A30
B16
A08
A06
E97
A49
E94
C78
C45
B14
D11
C90
C97
B90
E01
B05
B07
D20
D24
D03
B22
D85
C85
A55
A32
A34
A67
C00
A20
D38
A57
B15
E84
C69
B92
E14
E43
C98
C56
B63
C91
C15
C53
A23
B83
E49
D07
E05
E04
E61
D17
A31
A44
D02
D97
E11
E96
A46
A43
E06
D06
E08
E20
B40
B50
B06
D53
E46
D35
A48
D05
C09
B21
C49
C41
C96
D23
C25
D48
B31
C64
C80
C50
C86
C54
B89
D10
B81
C30
C72
B19
D15
A45
C83
C57
C61
C68
E85
C06
E73
C17
A40
E91
D58
E92
B52
B75
A05
C16
B35
A52
B25
C29
B44
A42
A85
E39
A56
D09
C44
B74
C24
B12
D36
C62
B11
A72
B88
D26
E15
B76
B42
D59
B72
A21
D25
B55
B78
D27
C48
D42
C14
B02
D34
D30
A65
B45
A90
D61
D56
A03
C55
D93
C39
D12
B85
A35
A09
E51
D45
B18
D18
B53
B27
D04
A02
C34
D33
B98
D46
E90
B32
E67
A26
E18
A18
C08
C31
C93
B67
B51
E65
C33
C46
E48
B04
B47
C01
C03
B10
A95
A54
E99
D49
D78
E66
B28
D16
A89
E76
B48
D37
C63
A11
A10
B58
D43
A38
A53
E89
D80
D14
C07
D44
B49
B26
B38
A22
E32
C21
A47
C84
D90
A88
C77
A39
D55
C92
B96
C13
D66
D39
E86
D41
B56
B41
B77
E09
A92
E12
E41
B97
B29
D94
E16
B70
B99
C12
A41
D91
C18
C11
E13
D88
B66
E45
A84
B43
A04
C47
C81
C67
E55
C35
B24
C65
E81
E80
E69
A69
D79
A59
D60
C43
C52
E00
E74
E21
A81
C87
B61
E60
E44
A60
A37
E07
A27
E62
C95
C89
B93
C28
B87
D82
A50
B79
D32
E30
A58
D47
C73
E68
E36
D19
E17
A94
D22
C20
C05
A75
D29
A15
E78
B39
B95
C60
E52
E35
B69
C22
E31
B57
A61
B62
A62
D70
A70
B65
B36
E19
B59
E72
E70
C70
A82
C99
C71
E63
C59
B68
A14
D54
D63
E50
A63
D08
B82
B94
D57
A96
C94
D74
C79
C66
D51
A24
B86
E54
A83
A51
B91
E37
A97
C23
C51
B60
E47
E38
E02
E98
D75
A77
A99
A87
D28
A98
D76
E59
B64
E26
D87
E77
C19
E33
C32
E87
C04
D92
E34
E42
E82
no_eco
D62
E10
D73
D67
B54
D68
E25
B37
D50
A86
D98
E03
D77
E29
E28
E88
A68
E95
B73
D86
A74
E53
E71
D71
E64
A78
E24
E83
A79
D65
E23
D69
C37
C38
C58
A91
E40
C75
E57
C76
A93
D64
C74
E22
D95
D83
D81
E58
D96
D72
D99
A64
A71
D84
E56
E27
E93
E75
E79
A76
A73
A66
D89
